Type;Class;Amount Business Dependencies; Amount Persistence Dependencies
business;org.sigaept.edu.negocio.ejb.ManterVerificacaoCasoEJB;0;3
persistence;org.sigaept.edu.dao.CriterioClassificacaoDAO;0;0
persistence;org.sigaept.edu.dao.SituacaoEquipamentoEnsinoDAO;0;0
persistence;org.sigaept.edu.dao.TipoOcorrenciaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterMatrizCurricularEJB;0;17
persistence;org.sigaept.edu.dao.TipoAcessoDAO;0;0
persistence;org.sigaept.edu.dao.CertificadoMilitarDAO;0;0
persistence;org.sigaept.edu.dao.ResponsavelDAO;0;0
persistence;org.sigaept.edu.dao.FormulaCriterioClassificacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterPedidoRenovacaoMatriculaEJB;0;18
persistence;org.sigaept.edu.dao.OrgaoPublicoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAprovadoProcessoSeletivoEJB;0;2
persistence;org.sigaept.edu.dao.SexoDAO;0;0
persistence;org.sigaept.edu.dao.DisciplinaDAO;0;0
persistence;org.sigaept.edu.dao.FuncionarioDAO;0;0
persistence;org.sigaept.edu.dao.ClasseDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterOrgaoExpedidorEJB;0;0
persistence;org.sigaept.edu.dao.ParticipacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAmbienteAprendizagemEJB;0;7
business;org.sigaept.edu.negocio.ejb.ManterRegimeMatriculaEJB;0;1
persistence;org.sigaept.edu.dao.UnidadeEnsinoDAO;0;0
persistence;org.sigaept.edu.dao.RelatorioPentahoDAO;0;0
persistence;org.sigaept.edu.dao.CategoriaProgramaDAO;0;0
persistence;org.sigaept.edu.dao.ElementoEletivaDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterServidorPentahoEJB;0;0
persistence;org.sigaept.edu.dao.TipoParticipanteDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCategoriaAmbienteAprendizagemEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterClasseEJB;1;27
persistence;org.sigaept.edu.dao.SupervisaoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.ProgramaEducacaoSuperiorDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterRegimeJuridicoEJB;0;0
persistence;org.sigaept.edu.dao.TipoEquipamentoDAO;0;0
persistence;org.sigaept.edu.dao.ModalidadeBolsaPesquisaExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.ConfiguracaoGeralDAO;0;0
persistence;org.sigaept.edu.dao.PlanoEnsinoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterContextoPermissaoAcessoEJB;0;1
persistence;org.sigaept.edu.dao.UnidadeFederativaDAO;0;0
persistence;org.sigaept.edu.dao.MatriculaDAO;0;0
persistence;org.sigaept.edu.dao.CDUDAO;0;0
persistence;org.sigaept.edu.dao.PerfilAcaoDAO;0;1
persistence;org.sigaept.edu.dao.ConceitoAvaliacaoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;0;32
persistence;org.sigaept.edu.dao.TipoParentescoDAO;0;0
persistence;org.sigaept.edu.dao.RegraAcademicaDAO;0;1
